id_platz;typ;strasse;tarif;anzvelos;anschliess;gedeckt;zugang;infos;cargovelo;bikeride;velospot;geo_point_2d;geo_shape
208;Velos/Motorräder;Byfangweg;Gebührenfrei;14;nicht anschliessbar;nein;;;;nein;;47.552074640217675, 7.582240152379528;"{""coordinates"": [7.582240152379528, 47.552074640217675], ""type"": ""Point""}"
209;Velos/Motorräder;Eggfluhstrasse;Gebührenfrei;5;nicht anschliessbar;nein;;;;nein;;47.54520556578461, 7.57425768822731;"{""coordinates"": [7.57425768822731, 47.54520556578461], ""type"": ""Point""}"
210;Velos/Motorräder;Nufenenstrasse;Gebührenfrei;9;nicht anschliessbar;nein;;;;nein;;47.54969741080673, 7.563140652132088;"{""coordinates"": [7.563140652132088, 47.54969741080673], ""type"": ""Point""}"
218;Velos/Motorräder;Eulerstrasse;Gebührenfrei;12;nicht anschliessbar;nein;;;;nein;;47.55606684085909, 7.579165452530477;"{""coordinates"": [7.579165452530477, 47.55606684085909], ""type"": ""Point""}"
224;Velos/Motorräder;Näfelserstrasse;Gebührenfrei;5;nicht anschliessbar;nein;;;;nein;;47.55878657339419, 7.566416936157895;"{""coordinates"": [7.566416936157895, 47.55878657339419], ""type"": ""Point""}"
231;Velos/Motorräder;Klingelbergstrasse;Gebührenfrei;12;nicht anschliessbar;nein;;;;nein;;47.5639239194221, 7.579380267660902;"{""coordinates"": [7.579380267660902, 47.5639239194221], ""type"": ""Point""}"
235;Velos/Motorräder;Rheinländerstrasse;Gebührenfrei;4;nicht anschliessbar;nein;;;;nein;;47.56389648508124, 7.578650959390104;"{""coordinates"": [7.578650959390104, 47.56389648508124], ""type"": ""Point""}"
238;Velos/Motorräder;Mülhauserstrasse;Gebührenfrei;10;nicht anschliessbar;nein;;;;nein;;47.56797846077029, 7.57879721709005;"{""coordinates"": [7.57879721709005, 47.56797846077029], ""type"": ""Point""}"
239;Velos/Motorräder;Lothringerstrasse;Gebührenfrei;5;nicht anschliessbar;nein;;;;nein;;47.56915599722106, 7.5766313984946425;"{""coordinates"": [7.576631398494643, 47.56915599722106], ""type"": ""Point""}"
247;Velos/Motorräder;Missionsstrasse;Gebührenfrei;5;nicht anschliessbar;nein;;;;nein;;47.56147347124416, 7.574622129753318;"{""coordinates"": [7.574622129753318, 47.56147347124416], ""type"": ""Point""}"
